model_id,lab_id,canonical_name,aliases,release_date,model_family,openness,license,parameter_count_total,parameter_count_active,context_window_tokens,modalities,supports_tools,supports_json_schema,input_price_usd_per_mtok,output_price_usd_per_mtok,model_card_url,last_seen_at
gpt_4_1,openai,GPT-4.1,"[""gpt-4.1"", ""GPT 4.1""]",,GPT,closed_api,,,,,"[""text"", ""vision""]",True,True,,,,
gpt_5_5,openai,GPT-5.5,"[""gpt-5.5"", ""GPT 5.5"", ""GPT\u20115.5""]",2026-04-23,GPT,closed_api,Proprietary,,,1000000.0,"[""text"", ""vision""]",True,True,,,https://openai.com/index/gpt-5-5-system-card/,
claude_opus_4_1,anthropic,Claude Opus 4.1,"[""claude-opus-4-1""]",,Claude,closed_api,,,,,"[""text"", ""vision""]",True,True,,,,
claude_opus_4_7,anthropic,Claude Opus 4.7,"[""claude-opus-4-7"", ""Opus 4.7""]",2026-04-16,Claude,closed_api,Proprietary,,,1000000.0,"[""text"", ""vision""]",True,,5.0,25.0,https://www.anthropic.com/news/claude-opus-4-7,
claude_sonnet_4,anthropic,Claude Sonnet 4,"[""claude-sonnet-4""]",,Claude,closed_api,,,,,"[""text"", ""vision""]",True,True,,,,
gemini_2_5_pro,google_deepmind,Gemini 2.5 Pro,"[""gemini-2.5-pro""]",,Gemini,closed_api,,,,,"[""text"", ""vision"", ""audio"", ""video""]",True,True,,,,
deepseek_r1,deepseek,DeepSeek R1,"[""deepseek-r1"", ""DeepSeek-R1""]",2025-01-20,DeepSeek R,open_weight,MIT,671000000000.0,37000000000.0,128000.0,"[""text""]",,,,,https://huggingface.co/deepseek-ai/DeepSeek-R1,
llama_4,meta,Llama 4,"[""Meta Llama 4""]",,Llama,open_weight,,,,,"[""text"", ""vision""]",,,,,,
qwen3,qwen,Qwen3,"[""Qwen 3""]",,Qwen,open_weight,,,,,"[""text""]",True,,,,,
deepseek_v4_pro,deepseek,DeepSeek V4 Pro,"[""DeepSeek-V4-Pro"", ""deepseek-v4-pro"", ""DS-V4-Pro""]",2026-04-24,DeepSeek V,open_weight,MIT,1600000000000.0,49000000000.0,1000000.0,"[""text""]",True,,1.74,3.48,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro,
kimi_k2_6,moonshot,Kimi K2.6,"[""kimi-k2.6"", ""Kimi-K2.6"", ""moonshotai/Kimi-K2.6""]",2026-04-20,Kimi K,open_weight,Modified MIT,1000000000000.0,32000000000.0,262144.0,"[""text"", ""vision"", ""video""]",True,True,0.95,4.0,https://huggingface.co/moonshotai/Kimi-K2.6,
glm_5_1,zhipu,GLM-5.1,"[""glm-5.1"", ""GLM 5.1"", ""zai-org/GLM-5.1""]",2026-04-07,GLM,open_weight,MIT,754000000000.0,40000000000.0,200000.0,"[""text""]",True,True,1.4,4.4,https://huggingface.co/zai-org/GLM-5.1,
claude_sonnet_4_6,anthropic,Claude Sonnet 4.6,"[""claude-sonnet-4-6""]",2026-02-17,Claude,closed_api,Proprietary,,,1000000.0,"[""text"", ""vision""]",True,,3.0,15.0,https://www.anthropic.com/claude-sonnet-4-6-system-card,
qwen3_6_plus,qwen,Qwen3.6-Plus,"[""Qwen 3.6 Plus"", ""Qwen3.6 Plus"", ""qwen3.6-plus"", ""qwen/qwen3.6-plus""]",2026-04-01,Qwen,closed_api,Proprietary,,,1000000.0,"[""text"", ""image"", ""video""]",True,,,,https://qwen.ai/blog?id=qwen3.6,
minimax_m2_5,minimax,MiniMax-M2.5,"[""MiniMax M2.5"", ""minimax-m2.5"", ""MiniMaxAI/MiniMax-M2.5""]",2026-02-12,MiniMax M,open_weight,Modified MIT,229000000000.0,10000000000.0,196608.0,"[""text""]",True,,0.15,1.2,https://huggingface.co/MiniMaxAI/MiniMax-M2.5,
gemini_3_1_pro_preview,google_deepmind,Gemini 3.1 Pro Preview,"[""Gemini 3.1 Pro"", ""gemini-3.1-pro-preview"", ""gemini-3.1-pro""]",2026-02-19,Gemini,closed_api,Proprietary,,,1000000.0,"[""text"", ""image"", ""audio"", ""video""]",True,,,,https://deepmind.google/models/model-cards/gemini-3-1-pro/,
grok_4_20,xai,Grok 4.20,"[""grok-4.20-beta1"", ""grok-4.20-beta-0309-reasoning"", ""grok-4.20-multi-agent-beta-0309"", ""Grok 4.20 Beta""]",2026-03-09,Grok,closed_api,Proprietary,,,,"[""text"", ""vision""]",True,,,,https://docs.x.ai/developers/models,
muse_spark,meta,Muse Spark,"[""muse-spark"", ""Meta Muse Spark""]",2026-04-08,Muse,research_preview,Proprietary,,,,"[""text"", ""vision""]",True,,,,https://about.fb.com/news/2026/04/introducing-muse-spark-meta-superintelligence-labs/,
mimo_v2_5_pro,xiaomi,MiMo-V2.5-Pro,"[""MiMo V2.5 Pro"", ""mimo-v2.5-pro"", ""XiaomiMiMo/MiMo-V2.5-Pro""]",2026-04-28,MiMo,open_weight,MIT,1020000000000.0,42000000000.0,1048576.0,"[""text""]",True,,,,https://huggingface.co/XiaomiMiMo/MiMo-V2.5-Pro,
claude_opus_4_6,anthropic,Claude Opus 4.6,"[""claude-opus-4-6"", ""Claude Opus 4.6 Thinking"", ""claude-opus-4-6-thinking""]",2026-02-05,Claude,closed_api,Proprietary,,,1000000.0,"[""text"", ""vision""]",True,,5.0,25.0,https://www.anthropic.com/news/claude-opus-4-6,
